Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3
12.0,8.0,3.0,17.5,-21.522657706710003,-8.61490718582589,-16.6625999370469,4.21,6.7,8.278
12.0,8.0,3.0,18.0,-25.547100735299814,-8.123928354036288,-15.065851925856633,4.228,6.712,8.302
12.0,8.0,3.0,18.5,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.842,2.872,2.902
12.0,8.0,3.5,16.0,-18.134343779154925,-17.085305219164674,-20.29387732377019,4.12,6.526,8.14
12.0,8.0,3.5,16.5,-20.266729593188654,-16.281755877512808,-18.04579652862609,4.126,6.526,8.14
12.0,8.0,3.5,17.0,-22.9242026888181,-14.752888007060944,-16.59835331630939,4.15,6.5440000000000005,8.146
12.0,8.0,3.5,17.5,-27.186352255548808,-14.046512222705235,-15.255509892137049,4.138,6.526,8.134
12.0,8.0,3.5,18.0,-31.084045252472023,-13.188920822476444,-13.89612923342508,4.15,6.538,8.134
12.0,8.0,3.5,18.5,-36.68250429372912,-12.250118290932503,-12.945745075034882,4.168,6.55,8.152000000000001
12.0,8.0,4.0,16.0,-22.521662677702945,-33.06349198943286,-17.34510790357117,4.084,6.4,8.056000000000001
12.0,8.0,4.0,16.5,-25.70656019027861,-28.149718263336915,-15.924766701796331,4.096,6.394,8.05
12.0,8.0,4.0,17.0,-31.075455568934103,-24.401261258478,-14.483595264323476,4.102,6.394,8.05
12.0,8.0,4.0,17.5,-41.176159790663576,-22.611206560916955,-13.692855439244918,4.102,6.394,8.032
12.0,8.0,4.0,18.0,-27.443876193246567,-20.75394973150264,-12.297443305342671,4.102,6.388,8.032
12.0,8.0,4.0,18.5,-25.730751844145114,-19.98350271739162,-11.484670078904422,4.1080000000000005,6.3580000000000005,7.99
12.0,8.0,4.5,16.0,-26.996469759026343,-21.693319432532785,-14.25737268284688,4.024,6.226,7.948
12.0,8.0,4.5,16.5,-52.24069202759515,-24.243097821299827,-12.92879383364346,4.042,6.232,7.954
12.0,8.0,4.5,17.0,-31.89767061075516,-26.73362258909617,-11.982691250852984,4.048,6.220000000000001,7.948
12.0,8.0,4.5,17.5,-24.86891361026716,-31.52946619534749,-11.261505952550388,4.0600000000000005,6.244,7.96
12.0,8.0,4.5,18.0,-20.94233896840794,-38.025528289732,-10.573003687755978,4.066,6.244,7.96
12.0,8.0,4.5,18.5,-19.07337955720025,-29.4284250577522,-9.908638649975854,4.066,6.244,7.96
12.0,8.0,5.0,16.0,-38.56894498634363,-16.078448375208524,-11.213517559128764,3.976,6.0280000000000005,7.852
12.0,8.0,5.0,16.5,-25.020360210886988,-17.427923840868058,-10.409380008637868,3.988,6.04,7.864
12.0,8.0,5.0,17.0,-22.27827679597536,-18.92348597296043,-9.664961196873856,4.0,6.046,7.87
12.0,8.0,5.0,17.5,-19.305764834967444,-20.851841549467288,-9.140581823347716,4.006,6.046,7.87
12.0,8.0,5.0,18.0,-17.497856052475466,-23.613906343797755,-8.529074319309867,4.0120000000000005,6.058,7.87
12.0,8.0,5.0,18.5,-16.00037187840775,-26.677603578747192,-8.089509412738225,4.0120000000000005,6.058,7.864
