Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3,Absorption_1,Absorption_2,Absorption_3
12.0,7.5,3.0,16.0,-9.643274665532873e-16,-1.928654933106575e-15,-9.643274665532873e-16,2.752,2.776,2.836,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16
12.0,7.5,3.0,16.5,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.614,2.626,2.638,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
12.0,7.5,3.0,17.0,-17.30700245455203,-6.039854370905181,-10.809015401697774,4.354,6.874,8.5,0.9814091282642994,0.7511059223112799,0.9169961073916301
12.0,7.5,3.0,17.5,-19.13322786792773,-5.801147565881659,-10.323161392126838,4.36,6.88,8.5,0.9877910809778706,0.7370426929910222,0.9071709596565408
12.0,7.5,3.0,18.0,-21.592152556548967,-5.478095457853794,-9.69070791512858,4.372,6.886,8.5,0.9930691780148349,0.7167366061649493,0.8926185637405585
12.0,7.5,3.0,18.5,-24.7783544106834,-5.238744435390417,-8.902825094641067,4.378,6.886,8.5,0.9966721437447741,0.7006870161352834,0.8712588184816468
12.0,7.5,3.5,16.0,-16.184744126623794,-11.22438702947424,-25.413449880373307,4.264,6.712,8.386,0.9759272565569191,0.9245670144282832,0.9971248863802765
12.0,7.5,3.5,16.5,-17.592210449312,-10.623953318431258,-22.015478080031343,4.282,6.7,8.379999999999999,0.9825907943677588,0.9133826947732204,0.9937128735963343
12.0,7.5,3.5,17.0,-19.793495394224724,-10.082848563826545,-19.55881659230307,4.288,6.706,8.386,0.9895130194970866,0.9018895780271491,0.9889307463136058
12.0,7.5,3.5,17.5,-22.30981664772346,-9.467616871459896,-17.735199352412284,4.3,6.718,8.398,0.9941248584407332,0.8869583955931729,0.9831546489952352
12.0,7.5,3.5,18.0,-26.526078747102645,-8.998423364882912,-16.034834961829013,4.312,6.724,8.398,0.9977746817722133,0.8740617472947193,0.9750818093782468
12.0,7.5,3.5,18.5,-29.29507308217529,-8.570287275988637,-14.637061954450424,4.312,6.724,8.398,0.9988237688088565,0.8610139307972343,0.9656209553081656
12.0,7.5,4.0,16.0,-17.950977627042242,-19.81543547282224,-20.07368518390594,4.192,6.502,8.206,0.9839711547036489,0.9895658649696923,0.9901682351773818
12.0,7.5,4.0,16.5,-19.89058419360795,-17.808342340717815,-18.65236440029295,4.21,6.502,8.224,0.9897448603060197,0.9834359792480833,0.9863615957205518
12.0,7.5,4.0,17.0,-22.813874417923536,-15.86986797331511,-17.176853621870627,4.228,6.526,8.236,0.9947686646833105,0.9741170840128556,0.9808435673170901
12.0,7.5,4.0,17.5,-27.552806031887137,-15.171050739115293,-15.747377119189244,4.234,6.514,8.23,0.9982432118359942,0.9695985060198715,0.9733766753490433
12.0,7.5,4.0,18.0,-0.0187341774356724,-31.41492474707368,-14.665039065570785,2.542,4.228,6.508,0.004304413113031091,0.9992780493274795,0.965841712192727
12.0,7.5,4.0,18.5,-31.21795692079056,-13.185783883419884,-13.337523574472945,4.246,6.526,8.23,0.9992445524659176,0.951980060157082,0.9536288739105858
12.0,7.5,4.5,16.0,-20.677300452646897,-29.836524041187328,-16.319465734950924,4.132,6.298,8.08,0.991444016177673,0.9989616408460991,0.9766625486021185
12.0,7.5,4.5,16.5,-0.0647991956623151,-23.781137330536147,-46.505888247402,2.77,4.144,6.304,0.014809806101221956,0.9958131609419566,0.9999776431210551
12.0,7.5,4.5,17.0,-28.984389215953254,-34.939562066648634,-13.741821864330024,4.156000000000001,6.304,8.097999999999999,0.9987365412180877,0.999679340734579,0.9577508657933238
12.0,7.5,4.5,17.5,-39.32737654011034,-28.25093030347628,-12.801237372095308,4.168,6.3100000000000005,8.097999999999999,0.9998832485330699,0.9985040848186562,0.947534204420701
12.0,7.5,4.5,18.0,-28.66761055178282,-23.056583966620924,-11.871760582529332,4.18,6.3100000000000005,8.097999999999999,0.9986409390162468,0.9950530034973007,0.9350133811738572
12.0,7.5,4.5,18.5,-0.014501392238678,-9.643274665532873e-16,-9.643274665532873e-16,2.986,3.064,3.076,0.0033335004684682534,2.220446049250313e-16,2.220446049250313e-16
12.0,7.5,5.0,16.0,-26.378904402273168,-19.204103592732515,-12.286207844487793,4.1080000000000005,6.088,7.996,0.997697977523016,0.987988710330633,0.9409283345304438
12.0,7.5,5.0,16.5,-29.50642818592436,-20.20345315799893,-11.340593110323791,4.114,6.082000000000001,7.984,0.9988796410666831,0.9904576644494122,0.9265586436596861
12.0,7.5,5.0,17.0,-30.83204920858561,-22.477739218861544,-10.74502394969898,4.1080000000000005,6.052,7.936,0.9991743517226009,0.9943476886272422,0.9157640253869983
12.0,7.5,5.0,17.5,-29.234975645698263,-25.75724392858447,-9.881074465923454,4.12,6.082000000000001,7.984,0.9988073790462008,0.9973437092670646,0.8972238006705971
12.0,7.5,5.0,18.0,-22.801381750604413,-31.187322987988694,-9.431480846798149,4.126,6.093999999999999,7.99,0.9947535948584569,0.9992392049098223,0.8860138945769264
12.0,7.5,5.0,18.5,-19.93698764247864,-34.4886017987502,-8.668056545789483,4.138,6.07,7.966,0.9898538510012449,0.9996442541683007,0.8641078576374062
12.0,7.5,5.5,16.0,-28.89414090344594,-15.002771288756325,-9.187341886358375,4.078,5.854,7.906,0.9987100112891352,0.9683973958605645,0.879422628766791
12.0,7.5,5.5,16.5,-23.402492349313544,-16.07938953886666,-8.59537985286173,4.09,5.866,7.912,0.9954317405102003,0.9753361400236811,0.8618146462311033
12.0,7.5,5.5,17.0,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.812,2.824,2.878,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
12.0,7.5,5.5,17.5,-18.293692986427093,-19.115639823249506,-7.51683003578823,4.1080000000000005,5.878,7.918,0.9851874202574158,0.9877415370812157,0.8228598547623032
12.0,7.5,5.5,18.0,-17.099072814505462,-20.58595479584692,-7.000494992205968,4.096,5.854,7.894,0.9804973907889745,0.9912621513001637,0.8004965084423558
